#model,Estimate;
0;0.221360879
0;-0.046907116
0;0.053103741
0;-0.046116757
0;0.040131797
0;0.088066082
0;-0.046415135
0;0.040537804
0;0.040822344
0;0.083763764
0;-0.045995994
0;0.040018119
0;0.040629729
0;0.04094598
0;0.065249529
0;-0.051676999
0;0.040744712
0;0.040474015
0;0.040534672
0;0.040458882
0;0.048651646
0;-0.051555144
0;0.041580605
0;0.040325163
0;0.04042855
0;0.040252689
0;0.040917757
0;0.613103299
0;-0.053324759
0;0.04071571
0;0.040510955
0;0.040531652
0;0.040492305
0;0.040953359
0;0.04099073
0;0.099907979
0;-0.044538342
0;0.04408517
0;0.040237483
0;0.041178648
0;0.040141207
0;0.040714741
0;0.041910202
0;0.040586647
0;0.480593783
0;-0.037227234
0;0.04428392
0;0.039695138
0;0.040400338
0;0.039515089
0;0.040280336
0;0.041725114
0;0.040094826
0;0.046651065
0;0.433923997
0;-0.035406164
0;0.039620358
0;0.039552296
0;0.039025247
0;0.039461729
0;0.039761572
0;0.03979562
0;0.039771483
0;0.039038248
0;0.039609687
0;0.172159061
0;-0.046571819
0;0.040039918
0;0.040702439
0;0.041080658
0;0.040805678
0;0.04049722
0;0.04027348
0;0.040530498
0;0.040217874
0;0.039511665
0;0.039357131
0;0.052739039
0;-0.000786567
0;-0.000684019
0;0.000120282
0;0.000131493
0;0.000153451
0;1.87E-05
0;-0.00013524
0;3.39E-05
0;-0.000511114
0;-0.000685252
0;-7.90E-05
0;0.000169692
0;9.74E-05
0;-0.000529918
0;-0.000121758
0;-0.002432033
0;0.000176796
0;0.000134406
0;2.41E-05
0;-4.96E-05
0;2.61E-05
0;-0.00011228
0;-0.000244933
0;-0.000129379
0;0.000153274
0;4.51E-05
0;0.000606393
0;-0.000768433
0;-0.000160776
0;7.78E-05
0;-0.002464242
0;9.54E-05
0;3.41E-05
0;-4.26E-05
0;4.42E-05
0;-0.000228744
0;-0.000335748
0;-5.97E-05
0;0.00010593
0;4.30E-05
0;2.51E-05
0;0.000284515
0;-0.000562543
0;-0.000142592
0;9.10E-05
0;0.000133685
0;-0.000894089
0;2.38E-05
0;-5.11E-05
0;2.89E-05
0;-0.000168444
0;-0.000285532
0;-9.43E-05
0;0.00012783
0;4.36E-05
0;3.01E-05
0;2.39E-05
0;0.000222257
0;-0.000583983
0;-0.000215075
0;0.000103462
0;0.000141514
0;0.00013043
0;-0.000284847
0;-8.25E-05
0;2.65E-05
0;-0.000273401
0;-0.000411771
0;-9.62E-05
0;0.000146483
0;5.69E-05
0;3.63E-05
0;3.05E-05
0;3.32E-05
0;6.74E-05
0;-0.000556684
0;-0.000313315
0;0.000110504
0;0.000133531
0;0.00014186
0;9.11E-06
0;-0.017526355
0;1.98E-05
0;-0.000422919
0;-0.000579115
0;-8.43E-05
0;0.000157906
0;7.23E-05
0;4.19E-05
0;3.79E-05
0;3.96E-05
0;5.12E-05
0;0.001025799
0;-0.000563663
0;-0.000197764
0;0.000103214
0;0.000146184
0;0.000129875
0;1.94E-05
0;-7.67E-05
0;-0.002390827
0;-0.000244012
0;-0.000380064
0;-0.00010089
0;0.000146261
0;5.44E-05
0;3.58E-05
0;2.93E-05
0;3.24E-05
0;4.06E-05
0;4.92E-05
0;0.000255946
